study_id,fold
1.2.826.0.1.3680043.16110,4
1.2.826.0.1.3680043.16124,2
1.2.826.0.1.3680043.16141,2
1.2.826.0.1.3680043.16148,1
1.2.826.0.1.3680043.16163,2
1.2.826.0.1.3680043.16180,4
1.2.826.0.1.3680043.16188,4
1.2.826.0.1.3680043.16195,2
1.2.826.0.1.3680043.16206,0
1.2.826.0.1.3680043.1625,2
1.2.826.0.1.3680043.16262,2
1.2.826.0.1.3680043.16277,3
1.2.826.0.1.3680043.16308,3
1.2.826.0.1.3680043.1632,2
1.2.826.0.1.3680043.16329,1
1.2.826.0.1.3680043.16330,1
1.2.826.0.1.3680043.16333,1
1.2.826.0.1.3680043.1634,1
1.2.826.0.1.3680043.16348,1
1.2.826.0.1.3680043.1636,0
1.2.826.0.1.3680043.16374,1
1.2.826.0.1.3680043.16386,0
1.2.826.0.1.3680043.16408,3
1.2.826.0.1.3680043.1641,1
1.2.826.0.1.3680043.16444,2
1.2.826.0.1.3680043.16451,3
1.2.826.0.1.3680043.16455,4
1.2.826.0.1.3680043.16457,2
1.2.826.0.1.3680043.16463,4
1.2.826.0.1.3680043.1647,0
1.2.826.0.1.3680043.16486,4
1.2.826.0.1.3680043.16498,0
1.2.826.0.1.3680043.16511,4
1.2.826.0.1.3680043.16527,4
1.2.826.0.1.3680043.16534,4
1.2.826.0.1.3680043.16546,3
1.2.826.0.1.3680043.16548,0
1.2.826.0.1.3680043.16563,4
1.2.826.0.1.3680043.16572,1
1.2.826.0.1.3680043.166,3
1.2.826.0.1.3680043.16643,2
1.2.826.0.1.3680043.16651,1
1.2.826.0.1.3680043.16658,4
1.2.826.0.1.3680043.1668,2
1.2.826.0.1.3680043.16688,1
1.2.826.0.1.3680043.16693,4
1.2.826.0.1.3680043.16707,3
1.2.826.0.1.3680043.16729,1
1.2.826.0.1.3680043.16747,0
1.2.826.0.1.3680043.16759,0
1.2.826.0.1.3680043.16764,3
1.2.826.0.1.3680043.16770,3
1.2.826.0.1.3680043.1679,0
1.2.826.0.1.3680043.16806,0
1.2.826.0.1.3680043.16811,0
1.2.826.0.1.3680043.16813,3
1.2.826.0.1.3680043.16820,3
1.2.826.0.1.3680043.16824,1
1.2.826.0.1.3680043.16830,3
1.2.826.0.1.3680043.16833,0
1.2.826.0.1.3680043.16838,3
1.2.826.0.1.3680043.1685,3
1.2.826.0.1.3680043.16853,0
1.2.826.0.1.3680043.16866,2
1.2.826.0.1.3680043.16889,2
1.2.826.0.1.3680043.1689,2
1.2.826.0.1.3680043.16906,0
1.2.826.0.1.3680043.16919,3
1.2.826.0.1.3680043.16931,1
1.2.826.0.1.3680043.16935,4
1.2.826.0.1.3680043.16993,0
1.2.826.0.1.3680043.170,3
1.2.826.0.1.3680043.17016,1
1.2.826.0.1.3680043.17052,4
1.2.826.0.1.3680043.17061,0
1.2.826.0.1.3680043.17069,1
1.2.826.0.1.3680043.1708,1
1.2.826.0.1.3680043.17094,3
1.2.826.0.1.3680043.171,2
1.2.826.0.1.3680043.17127,0
1.2.826.0.1.3680043.17129,2
1.2.826.0.1.3680043.17166,0
1.2.826.0.1.3680043.17170,1
1.2.826.0.1.3680043.17184,3
1.2.826.0.1.3680043.17194,0
1.2.826.0.1.3680043.17208,0
1.2.826.0.1.3680043.17210,4
1.2.826.0.1.3680043.17242,4
1.2.826.0.1.3680043.17246,3
1.2.826.0.1.3680043.17262,3
1.2.826.0.1.3680043.17266,2
1.2.826.0.1.3680043.17284,3
1.2.826.0.1.3680043.17287,1
1.2.826.0.1.3680043.17288,1
1.2.826.0.1.3680043.17325,2
1.2.826.0.1.3680043.17341,4
1.2.826.0.1.3680043.17346,0
1.2.826.0.1.3680043.17359,2
1.2.826.0.1.3680043.17364,2
1.2.826.0.1.3680043.17370,3
1.2.826.0.1.3680043.17382,3
1.2.826.0.1.3680043.17387,0
1.2.826.0.1.3680043.17401,1
1.2.826.0.1.3680043.17403,1
1.2.826.0.1.3680043.17423,2
1.2.826.0.1.3680043.17425,3
1.2.826.0.1.3680043.17438,3
1.2.826.0.1.3680043.17443,1
1.2.826.0.1.3680043.17455,0
1.2.826.0.1.3680043.17457,2
1.2.826.0.1.3680043.17481,0
1.2.826.0.1.3680043.17483,0
1.2.826.0.1.3680043.17495,2
1.2.826.0.1.3680043.17497,0
1.2.826.0.1.3680043.1750,0
1.2.826.0.1.3680043.17505,2
1.2.826.0.1.3680043.17523,1
1.2.826.0.1.3680043.17524,4
1.2.826.0.1.3680043.17529,4
1.2.826.0.1.3680043.17553,2
1.2.826.0.1.3680043.17607,2
1.2.826.0.1.3680043.17625,4
1.2.826.0.1.3680043.17692,1
1.2.826.0.1.3680043.17697,4
1.2.826.0.1.3680043.1770,4
1.2.826.0.1.3680043.17706,2
1.2.826.0.1.3680043.1772,4
1.2.826.0.1.3680043.17721,4
1.2.826.0.1.3680043.17782,1
1.2.826.0.1.3680043.17787,1
1.2.826.0.1.3680043.17791,0
1.2.826.0.1.3680043.17809,2
1.2.826.0.1.3680043.17811,3
1.2.826.0.1.3680043.17817,4
1.2.826.0.1.3680043.17833,3
1.2.826.0.1.3680043.17858,1
1.2.826.0.1.3680043.17859,3
1.2.826.0.1.3680043.17872,4
1.2.826.0.1.3680043.17884,1
1.2.826.0.1.3680043.17886,0
1.2.826.0.1.3680043.17902,4
1.2.826.0.1.3680043.17916,1
1.2.826.0.1.3680043.17924,4
1.2.826.0.1.3680043.17938,1
1.2.826.0.1.3680043.17960,0
1.2.826.0.1.3680043.17964,3
1.2.826.0.1.3680043.18010,0
1.2.826.0.1.3680043.18025,3
1.2.826.0.1.3680043.18060,0
1.2.826.0.1.3680043.18068,2
1.2.826.0.1.3680043.18077,3
1.2.826.0.1.3680043.1810,3
1.2.826.0.1.3680043.18101,1
1.2.826.0.1.3680043.18110,4
1.2.826.0.1.3680043.18123,0
1.2.826.0.1.3680043.18135,1
1.2.826.0.1.3680043.18141,2
1.2.826.0.1.3680043.18163,1
1.2.826.0.1.3680043.18176,3
1.2.826.0.1.3680043.18188,4
1.2.826.0.1.3680043.18191,4
1.2.826.0.1.3680043.18197,2
1.2.826.0.1.3680043.18207,3
1.2.826.0.1.3680043.18219,3
1.2.826.0.1.3680043.18244,2
1.2.826.0.1.3680043.18254,1
1.2.826.0.1.3680043.18272,3
1.2.826.0.1.3680043.18274,1
1.2.826.0.1.3680043.18307,2
1.2.826.0.1.3680043.18337,0
1.2.826.0.1.3680043.18341,1
1.2.826.0.1.3680043.1836,0
1.2.826.0.1.3680043.18391,0
1.2.826.0.1.3680043.18479,4
1.2.826.0.1.3680043.18480,0
1.2.826.0.1.3680043.1852,2
1.2.826.0.1.3680043.18523,2
1.2.826.0.1.3680043.18524,3
1.2.826.0.1.3680043.18534,3
1.2.826.0.1.3680043.18541,4
1.2.826.0.1.3680043.18562,2
1.2.826.0.1.3680043.18576,3
1.2.826.0.1.3680043.18598,3
1.2.826.0.1.3680043.18601,1
1.2.826.0.1.3680043.18656,3
1.2.826.0.1.3680043.18659,1
1.2.826.0.1.3680043.1868,3
1.2.826.0.1.3680043.18696,0
1.2.826.0.1.3680043.18748,4
1.2.826.0.1.3680043.18758,0
1.2.826.0.1.3680043.18768,0
1.2.826.0.1.3680043.18770,4
1.2.826.0.1.3680043.18786,4
1.2.826.0.1.3680043.1880,3
1.2.826.0.1.3680043.18834,3
1.2.826.0.1.3680043.18861,1
1.2.826.0.1.3680043.18865,0
1.2.826.0.1.3680043.18900,1
1.2.826.0.1.3680043.18904,4
1.2.826.0.1.3680043.18906,0
1.2.826.0.1.3680043.18935,4
1.2.826.0.1.3680043.18937,3
1.2.826.0.1.3680043.18945,4
1.2.826.0.1.3680043.18954,1
1.2.826.0.1.3680043.18959,4
1.2.826.0.1.3680043.18968,0
1.2.826.0.1.3680043.18971,3
1.2.826.0.1.3680043.19012,1
1.2.826.0.1.3680043.19021,0
1.2.826.0.1.3680043.19051,0
1.2.826.0.1.3680043.19055,0
1.2.826.0.1.3680043.19064,0
1.2.826.0.1.3680043.19084,3
1.2.826.0.1.3680043.19097,3
1.2.826.0.1.3680043.19121,4
1.2.826.0.1.3680043.19124,2
1.2.826.0.1.3680043.19142,3
1.2.826.0.1.3680043.19153,0
1.2.826.0.1.3680043.19159,4
1.2.826.0.1.3680043.19165,4
1.2.826.0.1.3680043.19182,0
1.2.826.0.1.3680043.19185,2
1.2.826.0.1.3680043.19194,4
1.2.826.0.1.3680043.1920,4
1.2.826.0.1.3680043.19201,3
1.2.826.0.1.3680043.19238,0
1.2.826.0.1.3680043.19242,0
1.2.826.0.1.3680043.19258,2
1.2.826.0.1.3680043.19266,1
1.2.826.0.1.3680043.19283,1
1.2.826.0.1.3680043.19298,4
1.2.826.0.1.3680043.19304,0
1.2.826.0.1.3680043.1931,4
1.2.826.0.1.3680043.19333,0
1.2.826.0.1.3680043.19339,2
1.2.826.0.1.3680043.19343,0
1.2.826.0.1.3680043.19352,4
1.2.826.0.1.3680043.19360,3
1.2.826.0.1.3680043.19369,0
1.2.826.0.1.3680043.19381,2
1.2.826.0.1.3680043.19388,4
1.2.826.0.1.3680043.19397,0
1.2.826.0.1.3680043.19400,4
1.2.826.0.1.3680043.19401,0
1.2.826.0.1.3680043.19410,0
1.2.826.0.1.3680043.19439,2
1.2.826.0.1.3680043.19487,2
1.2.826.0.1.3680043.19517,2
1.2.826.0.1.3680043.19537,1
1.2.826.0.1.3680043.19565,0
1.2.826.0.1.3680043.19576,0
1.2.826.0.1.3680043.19596,1
1.2.826.0.1.3680043.19607,4
1.2.826.0.1.3680043.19612,4
1.2.826.0.1.3680043.19614,2
1.2.826.0.1.3680043.19618,4
1.2.826.0.1.3680043.19621,1
1.2.826.0.1.3680043.19639,3
1.2.826.0.1.3680043.19644,4
1.2.826.0.1.3680043.19649,1
1.2.826.0.1.3680043.19661,2
1.2.826.0.1.3680043.19675,0
1.2.826.0.1.3680043.19678,1
1.2.826.0.1.3680043.19680,2
1.2.826.0.1.3680043.19688,3
1.2.826.0.1.3680043.19700,1
1.2.826.0.1.3680043.19705,0
1.2.826.0.1.3680043.1972,1
1.2.826.0.1.3680043.19720,0
1.2.826.0.1.3680043.19727,0
1.2.826.0.1.3680043.19728,2
1.2.826.0.1.3680043.1975,4
1.2.826.0.1.3680043.19759,0
1.2.826.0.1.3680043.19761,3
1.2.826.0.1.3680043.19778,4
1.2.826.0.1.3680043.19780,0
1.2.826.0.1.3680043.19789,4
1.2.826.0.1.3680043.19797,0
1.2.826.0.1.3680043.19805,2
1.2.826.0.1.3680043.19808,1
1.2.826.0.1.3680043.1981,4
1.2.826.0.1.3680043.19846,1
1.2.826.0.1.3680043.19877,3
1.2.826.0.1.3680043.19882,4
1.2.826.0.1.3680043.19888,2
1.2.826.0.1.3680043.19947,2
1.2.826.0.1.3680043.19962,4
1.2.826.0.1.3680043.19967,1
1.2.826.0.1.3680043.19975,0
1.2.826.0.1.3680043.20004,2
1.2.826.0.1.3680043.20022,1
1.2.826.0.1.3680043.20023,2
1.2.826.0.1.3680043.20026,3
1.2.826.0.1.3680043.2003,4
1.2.826.0.1.3680043.20033,0
1.2.826.0.1.3680043.20038,2
1.2.826.0.1.3680043.20061,1
1.2.826.0.1.3680043.20070,2
1.2.826.0.1.3680043.20085,3
1.2.826.0.1.3680043.20087,0
1.2.826.0.1.3680043.20097,3
1.2.826.0.1.3680043.20111,4
1.2.826.0.1.3680043.20120,4
1.2.826.0.1.3680043.20153,0
1.2.826.0.1.3680043.20158,0
1.2.826.0.1.3680043.20161,0
1.2.826.0.1.3680043.20163,3
1.2.826.0.1.3680043.20171,2
1.2.826.0.1.3680043.20180,2
1.2.826.0.1.3680043.20212,2
1.2.826.0.1.3680043.2022,2
1.2.826.0.1.3680043.20257,3
1.2.826.0.1.3680043.20262,2
1.2.826.0.1.3680043.20276,0
1.2.826.0.1.3680043.20351,4
1.2.826.0.1.3680043.20381,0
1.2.826.0.1.3680043.20406,4
1.2.826.0.1.3680043.20431,3
1.2.826.0.1.3680043.20433,4
1.2.826.0.1.3680043.20509,1
1.2.826.0.1.3680043.20515,1
1.2.826.0.1.3680043.20516,3
1.2.826.0.1.3680043.20523,2
1.2.826.0.1.3680043.20565,0
1.2.826.0.1.3680043.20566,0
1.2.826.0.1.3680043.2058,1
1.2.826.0.1.3680043.20611,2
1.2.826.0.1.3680043.20617,4
1.2.826.0.1.3680043.20618,4
1.2.826.0.1.3680043.20620,1
1.2.826.0.1.3680043.20639,4
1.2.826.0.1.3680043.20643,2
1.2.826.0.1.3680043.20647,4
1.2.826.0.1.3680043.20650,3
1.2.826.0.1.3680043.20659,1
1.2.826.0.1.3680043.20676,4
1.2.826.0.1.3680043.20699,0
1.2.826.0.1.3680043.2070,0
1.2.826.0.1.3680043.20708,2
1.2.826.0.1.3680043.20723,1
1.2.826.0.1.3680043.20727,0
1.2.826.0.1.3680043.20747,1
1.2.826.0.1.3680043.20761,1
1.2.826.0.1.3680043.20773,4
1.2.826.0.1.3680043.20780,0
1.2.826.0.1.3680043.20798,4
1.2.826.0.1.3680043.20851,2
1.2.826.0.1.3680043.20873,3
1.2.826.0.1.3680043.20905,2
1.2.826.0.1.3680043.20925,4
1.2.826.0.1.3680043.20928,0
1.2.826.0.1.3680043.20930,4
1.2.826.0.1.3680043.20932,1
1.2.826.0.1.3680043.20944,2
1.2.826.0.1.3680043.20953,4
1.2.826.0.1.3680043.20963,1
